artist,album,track_name,track_id,danceability,energy,loudness,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,genre
Ayu Ting Ting,Yang Sudah Ya Sudahlah,Yang Sudah Ya Sudahlah,1P8oOaTWncKSm84nXApIdU,0.682,0.896,-5.873,0.0454,0.0116,0.277,0.77,144.979,200449,dangdut
Slank,Slank Since 1983,I Miss U but I Hate U,1oNC53QzqAMEQuGguxJSri,0.39,0.779,-4.775,0.0477,0,0.322,0.646,92.698,275093,classic indonesian rock
Pinkan Mambo,Wanita Terindah,Merindunya,7AsqQa4Yif7iWkp9LlqrRs,0.346,0.426,-6.335,0.0284,1.10E-05,0.127,0.168,135.731,234173,dangdut
Cita Citata,Goyang Dumang,Aku Mah Apa Atuh,3jwnfpA2yBbQqLbIonWKuO,0.709,0.813,-8.912,0.0335,0.00703,0.13,0.949,140.005,210912,dangdut
Jamrud,Ningrat,Pelangi Di Matamu,4IgaskcsffuOR4EH2aiYP9,0.41,0.315,-7.764,0.0291,0,0.105,0.205,127.92,329200,classic indonesian rock
Kotak,Terbaik,TInggalkan Saja,6IOLJNLMUou1XmDRCwQswE,0.521,0.703,-3.89,0.0386,0,0.0703,0.245,170.007,234720,classic indonesian rock
Wali,Aku Bukan Bang Toyib,Nenekku Pahlawanku,0O4deQeDLOk7gfpTXx7Nk5,0.737,0.751,-5.296,0.0288,0,0.348,0.949,121.959,255676,dangdut
Tere,Begitu Berharga,Dosa Termanis,7LIk2XYWCV4Xqfp1F48HIX,0.628,0.582,-6.957,0.0248,0.000236,0.0953,0.267,82.473,241733,classic indonesian rock
Gigi,Mohon Ampun,Pintu Sorga,4KBVCZT5D3olLHga1rpZqA,0.604,0.905,-4.855,0.0415,2.45E-01,0.0884,0.826,122.061,211500,classic indonesian rock
Wali,Orang Bilang,Dik,414GLtJjwva1WhFQOj5fYc,0.52,0.41,-7.403,0.0265,1.69E-06,0.124,0.17,129.966,273801,dangdut
Dewa 19,Terbaik Terbaik,Cinta 'Kan Membawamu Kembali,6MwIBSBiAMGomp4I80Xkgw,0.545,0.185,-13.39,0.0451,0.0174,0.099,0.259,139.515,259333,classic indonesian rock
Iwan Fals,Sarjana Muda,Yang Terlupakan,5M8mDTrtoPYE0MjOpaWzc8,0.37,0.514,-5.479,0.0302,0.00115,0.283,0.17,126.978,295947,classic indonesian rock
Barasuara,Bangkit Dan Berlari,Bangkit Dan Berlari - Instrumental,3uiyzc0WdwqEXUO3ngIMtS,0.57,0.721,-6.847,0.0287,0.922,0.333,0.142,100.031,274055,indonesian indie
Vina Panduwinata,Terbaik 1981 - 2006,Aku Makin Cinta,4Fx054uhsprmryvlfnr8hn,0.353,0.329,-11.758,0.0383,0.00426,0.106,0.125,69.314,230067,dangdut
Zaskia Gotik,Gotik,1 Jam,17bR926tPCBUvkB4jo9rWT,0.628,0.897,-7.082,0.0341,0.0157,0.42,0.926,159.973,242004,dangdut
Kotak,Terbaik,Pelan Pelan Saja,7gIoGYwIE7103MbNvCyCgU,0.624,0.351,-7.634,0.0325,6.44E-06,0.0614,0.279,75.958,239517,classic indonesian rock
Padi,The Singles,Harmony,49qbm2yG8cWqoM1Oxe0lhP,0.265,0.371,-6.933,0.0308,1.00E-05,0.128,0.274,83.11,295147,classic indonesian rock
Cokelat,Rasa Baru (Re-package),Bendera,0BsTURzR1eWY6GXAKSqyVW,0.545,0.862,-7.754,0.0608,8.60E-05,0.0693,0.713,155.9,247787,classic indonesian rock
Barasuara,Pikiran dan Perjalanan,Haluan,7dBKBJAbeZNN6XQA98LPfn,0.554,0.87,-6.321,0.0379,0.0048,0.0582,0.227,97.475,191704,indonesian indie
Iis Dahlia,Terlalu Tampan,Terlalu Tampan,4aI2zr32CU0X55QXTKk3lQ,0.636,0.612,-5.474,0.0323,3.15E-06,0.187,0.584,119.993,211000,dangdut
Radja,Langkah Baru,Jujur,3VdmpcvhuYbBSqoqr3izdt,0.574,0.799,-8.42,0.0414,5.48E-05,0.17,0.621,151.572,292943,dangdut
Barasuara,Pikiran dan Perjalanan,Tentukan Arah,3ZXQ7UmYQfcNPG9DMHkpJR,0.222,0.541,-8.457,0.0368,0.0214,0.123,0.26,179.932,274186,indonesian indie
Via Vallen,Selow,Selow,0C0qskYuGjtQmW8dCtMNjy,0.737,0.502,-7.309,0.0646,3.57E-06,0.169,0.643,160.079,227486,dangdut
